ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YBR268W	0.2434	567	5001592346	429.845	441.396	-11.551	0	0	
YLR315W	0.002487	768	5004589151	633.072	689.326	-56.254	0	0	
YMR090W	0.03725	1173	5001728109	951.102	1038.204	-87.102	0	0	
YGL147C	1.675	927	5003682421	788.081	711.416	76.665	0	0	
YBR269C	0.05899	756	5001386637	567.905	554.949	12.956	0	0	
YDR043C	0.005461	1157	5004003671	971.743	936.529	35.214	0	0	
YJR112W	0.04269	987	5001022572	840.072	858.725	-18.652	0	0	
YDR140W	0.06687	1162	5012116425	928.145	987.745	-59.600	0	0	
YAR068W	0.01535	990	5006796764	673.962	665.605	8.357	0	0	
YNL320W	0.02945	1422	5004498922	1205.372	1088.233	117.139	0	0	
YGR082W	0.2882	943	5005136037	758.698	659.071	99.627	0	0	
YPR107C	0.01304	950	5001273499	871.005	878.787	-7.782	0	0	
YGL051W	0.007268	1215	5011171777	981.781	984.718	-2.937	0	0	
YKR014C	0.1273	1182	5000394431	978.815	978.316	0.499	0	0	
YKL142W	0.209	1069	5001326502	912.154	891.578	20.577	0	0	
YMR180C	0.006806	1658	5000188721	1362.337	1567.833	-205.496	0	0	
YDR237W	0.06772	1534	5002567900	1236.116	1320.313	-84.197	0	0	
YLR215C	0.02983	1731	5004410032	1540.935	1683.380	-142.445	0	0	
YPL011C	0.04032	1752	5005683041	1513.075	1721.173	-208.098	0	0	
YDR428C	0.03172	1363	5006005983	1107.210	1175.215	-68.005	0	0	
YJR021C	0.005078	1537	5001742884	1334.934	1509.326	-174.392	0	0	
YGL053W	0.006031	1222	5001566128	998.377	979.047	19.329	0	0	
YMR181C	0.01573	798	5000387743	636.342	627.354	8.988	0	0	
YPR005C	0.006279	1493	5002057975	1254.753	1277.409	-22.656	0	0	
YCR004C	0.2667	1359	5007231723	1038.920	1005.611	33.308	0	0	
YJR022W	0.05775	661	5009820337	448.111	461.126	-13.015	0	0	
YJL145W	0.1267	1289	5000242827	1242.029	1184.749	57.280	0	0	
YER177W	2.513	1418	5002961427	1108.070	431.396	676.674	0	0	
YGL054C	0.1426	862	5006103001	566.552	545.946	20.606	0	0	
YOR212W	0.07337	2082	5002039090	1832.326	1637.247	195.078	0	0	
YDR044W	0.0772	1678	5000988256	1399.501	1241.909	157.592	0	0	
YNL128W	0.002764	2142	5003388340	1873.080	1985.332	-112.252	0	0	
YDR045C	0.1329	611	5006984163	451.761	445.082	6.679	0	0	
YJR113C	0.1175	1344	5001245655	1039.889	1110.746	-70.857	0	0	
YJR024C	0.1553	1319	5002027894	1018.176	1084.586	-66.410	0	0	
YDL100C	0.3928	1788	5002560023	1503.324	1311.327	191.997	0	0	
